日期,合约编码,交易代码,报价时间,到期日,期权类型,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,标的代码,标的收盘价,距离到期日天数,距离到期日时间（折算成年）,无风险利率,Delta,Gamma,Vega,Theta,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,期货代码,期货价格,连续标志
20211129,10003414,510050P2112A04000,2021-11-29,20211222,P,3.949,0.7522,0.7793,0.7522,0.7684,235,1604,1814927,10129,510050,3.182,23,0.063014,0.0258,-0.9507,0.2565,0.0008,-0.0006,-0.0024,0.1208,0.1322,0.1251,0.1476,0.1808,0.1769,0.179,0.1817,IH2112,3193.0,L1
20211130,10003414,510050P2112A04000,2021-11-30,20211222,P,3.949,0.7501,0.7801,0.7501,0.7801,22,1501,170161,10129,510050,3.164,22,0.060274,0.0269,-0.9859,0.1159,0.0003,0.0,-0.0024,0.1208,0.1277,0.1235,0.1468,0.1803,0.1767,0.1774,0.1817,IH2112,3172.0,L1
20211201,10003414,510050P2112A04000,2021-12-01,20211222,P,3.949,0.7647,0.7647,0.7591,0.7591,2,1491,15434,10129,510050,3.176,21,0.057534,0.0213,-1.0,0.0,0.0,0.0002,-0.0023,0.1239,0.1251,0.1243,0.1468,0.1803,0.1767,0.1775,0.178,IH2112,3184.8,L1
20211202,10003414,510050P2112A04000,2021-12-02,20211222,P,3.949,0.7501,0.7623,0.7442,0.7477,17,1492,129405,10129,510050,3.188,20,0.054795,0.0211,-1.0,0.0,0.0,0.0002,-0.0022,0.1183,0.1222,0.1232,0.1468,0.1804,0.1768,0.1775,0.1772,IH2112,3196.0,L1
20211203,10003414,510050P2112A04000,2021-12-03,20211222,P,3.949,0.7375,0.7435,0.7251,0.726,142,1445,1046666,10129,510050,3.215,19,0.052055,0.0221,-0.9972,0.0367,0.0001,0.0002,-0.002,0.1087,0.1264,0.1209,0.1411,0.1809,0.1772,0.1778,0.1774,IH2112,3223.8,L1
20211206,10003414,510050P2112A04000,2021-12-06,20211222,P,3.949,0.7151,0.7197,0.6921,0.7151,367,1220,2606077,10129,510050,3.225,16,0.043836,0.0219,-0.9987,0.0197,0.0,0.0002,-0.0017,0.1107,0.1264,0.1216,0.1413,0.181,0.1772,0.1774,0.1749,IH2112,3233.0,L1
20211207,10003414,510050P2112A04000,2021-12-07,20211222,P,3.949,0.7001,0.7099,0.6856,0.6999,262,1045,1855392,10129,510050,3.251,15,0.041096,0.0228,-0.9591,0.2504,0.0006,-0.0008,-0.0016,0.1169,0.1292,0.1234,0.1421,0.1807,0.1774,0.1766,0.1751,IH2112,3259.6,L1
20211208,10003414,510050P2112A04000,2021-12-08,20211222,P,3.949,0.695,0.695,0.6448,0.6448,54,1053,364113,10129,510050,3.301,14,0.038356,0.0233,-0.9953,0.0609,0.0001,0.0001,-0.0015,0.1392,0.137,0.1264,0.1437,0.171,0.1786,0.1777,0.1751,IH2112,3313.2,L1
20211209,10003414,510050P2112A04000,2021-12-09,20211222,P,3.949,0.6398,0.6398,0.55,0.5899,116,1023,687291,10129,510050,3.352,13,0.035616,0.0239,-0.9973,0.0429,0.0001,0.0002,-0.0014,0.1504,0.1272,0.1336,0.1452,0.1642,0.179,0.1788,0.1759,IH2112,3363.2,L1
20211210,10003414,510050P2112A04000,2021-12-10,20211222,P,3.949,0.5999,0.6065,0.5923,0.5923,13,956,79145,10129,510050,3.349,12,0.032877,0.0227,-0.9696,0.2402,0.0004,-0.0006,-0.0013,0.1364,0.1261,0.1329,0.1435,0.1637,0.1784,0.178,0.1759,IH2112,3363.4,L1
20211213,10003414,510050P2112A04000,2021-12-13,20211222,P,3.949,0.5574,0.5799,0.5301,0.5799,49,965,267451,10129,510050,3.354,9,0.024658,0.0225,-0.9993,0.0135,0.0,0.0002,-0.001,0.1037,0.126,0.1321,0.1433,0.1631,0.1784,0.1777,0.1758,IH2112,3367.0,L1
20211214,10003414,510050P2112A04000,2021-12-14,20211222,P,3.949,0.5921,0.6099,0.5921,0.6077,15,951,91198,10129,510050,3.337,8,0.021918,0.0234,-0.9996,0.009,0.0,0.0002,-0.0009,0.102,0.128,0.128,0.1403,0.1613,0.1783,0.1773,0.1732,IH2112,3356.8,L1
20211215,10003414,510050P2112A04000,2021-12-15,20211222,P,3.949,0.6199,0.6399,0.6199,0.6399,15,947,95280,10129,510050,3.304,7,0.019178,0.0233,-0.9999,0.0018,0.0,0.0002,-0.0008,0.1269,0.1313,0.1282,0.1416,0.1572,0.1787,0.1769,0.1733,IH2112,3321.0,L1
20211216,10003414,510050P2112A04000,2021-12-16,20211222,P,3.949,0.647,0.647,0.6386,0.6432,21,953,137015,10129,510050,3.315,6,0.016438,0.0222,-0.9323,0.3501,0.0006,-0.0038,-0.0006,0.1269,0.125,0.1267,0.1377,0.1571,0.1783,0.177,0.1732,IH2112,3330.8,L1
20211217,10003414,510050P2112A04000,2021-12-17,20211222,P,3.949,0.6499,0.6799,0.6499,0.6769,256,942,1733270,10129,510050,3.265,5,0.013699,0.0207,-1.0,0.0,0.0,0.0002,-0.0005,0.1545,0.1317,0.1345,0.1386,0.1591,0.1795,0.1776,0.1733,IH2112,3284.2,L1
20211220,10003414,510050P2112A04000,2021-12-20,20211222,P,3.949,0.6899,0.7099,0.6755,0.7073,55,771,384096,10129,510050,3.243,2,0.005479,0.0213,-0.9829,0.1435,0.0001,-0.0029,-0.0002,0.1594,0.1339,0.1356,0.1387,0.1594,0.1795,0.1778,0.1735,,,L1
20211221,10003414,510050P2112A04000,2021-12-21,20211222,P,3.949,0.6886,0.6959,0.6886,0.6905,20,709,140196,10129,510050,3.258,1,0.00274,0.0188,-1.0,0.0,0.0,0.0002,-0.0001,0.1559,0.1342,0.136,0.1376,0.1591,0.1783,0.1774,0.1723,,,L1
20211222,10003414,510050P2112A04000,2021-12-22,20211222,P,3.949,0.6811,0.7055,0.6811,0.7055,39,654,275275,10129,510050,3.244,0,0.0,0.0,,,,,,0.1332,0.1342,0.1355,0.1353,0.1582,0.1783,0.1742,0.1723,,,L1
