日期,合约编码,交易代码,报价时间,到期日,期权类型,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,标的代码,标的收盘价,距离到期日天数,距离到期日时间（折算成年）,无风险利率,Delta,Gamma,Vega,Theta,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,期货代码,期货价格,连续标志
20211129,10003715,510050C2201A03500,2021-11-29,20220126,C,3.455,0.0123,0.0139,0.0094,0.0116,4781,13298,538145,10129,510050,3.182,58,0.158904,0.0255,0.1185,0.9671,0.0025,-0.0004,0.0006,0.1208,0.1322,0.1251,0.1476,0.1808,0.1769,0.179,0.1817,IH2201,3195.8,L2
20211130,10003715,510050C2201A03500,2021-11-30,20220126,C,3.455,0.012,0.0129,0.0098,0.0103,2735,12495,297301,10129,510050,3.164,57,0.156164,0.0307,0.1069,0.8928,0.0023,-0.0004,0.0005,0.1208,0.1277,0.1235,0.1468,0.1803,0.1767,0.1774,0.1817,IH2201,3175.4,L2
20211201,10003715,510050C2201A03500,2021-12-01,20220126,C,3.455,0.0099,0.0111,0.0098,0.0106,2607,11846,276586,10129,510050,3.176,56,0.153425,0.0254,0.1107,0.9294,0.0024,-0.0004,0.0005,0.1239,0.1251,0.1243,0.1468,0.1803,0.1767,0.1775,0.178,IH2201,3190.6,L2
20211202,10003715,510050C2201A03500,2021-12-02,20220126,C,3.455,0.0098,0.0114,0.0094,0.011,2964,12062,320851,10129,510050,3.188,55,0.150685,0.025,0.116,0.9802,0.0024,-0.0004,0.0005,0.1183,0.1222,0.1232,0.1468,0.1804,0.1768,0.1775,0.1772,IH2201,3196.4,L2
20211203,10003715,510050C2201A03500,2021-12-03,20220126,C,3.455,0.012,0.0127,0.0099,0.0122,4151,13331,487765,10129,510050,3.215,54,0.147945,0.0261,0.131,1.1177,0.0026,-0.0004,0.0006,0.1087,0.1264,0.1209,0.1411,0.1809,0.1772,0.1778,0.1774,IH2201,3225.2,L2
20211206,10003715,510050C2201A03500,2021-12-06,20220126,C,3.455,0.0127,0.0177,0.0122,0.0133,4992,14783,764091,10129,510050,3.225,51,0.139726,0.027,0.1408,1.1769,0.0027,-0.0004,0.0006,0.1107,0.1264,0.1216,0.1413,0.181,0.1772,0.1774,0.1749,IH2201,3235.8,L2
20211207,10003715,510050C2201A03500,2021-12-07,20220126,C,3.455,0.0148,0.0189,0.0135,0.0161,4820,16368,742967,10129,510050,3.251,50,0.136986,0.027,0.1666,1.3394,0.003,-0.0005,0.0007,0.1169,0.1292,0.1234,0.1421,0.1807,0.1774,0.1766,0.1751,IH2201,3260.2,L2
20211208,10003715,510050C2201A03500,2021-12-08,20220126,C,3.455,0.0169,0.033,0.0148,0.0311,9496,16591,2413566,10129,510050,3.301,49,0.134247,0.0274,0.2595,1.583,0.0039,-0.0007,0.0011,0.1392,0.137,0.1264,0.1437,0.171,0.1786,0.1777,0.1751,IH2201,3316.6,L2
20211209,10003715,510050C2201A03500,2021-12-09,20220126,C,3.455,0.0322,0.0756,0.0317,0.0507,20744,15542,11678405,10129,510050,3.352,48,0.131507,0.0279,0.3543,1.6963,0.0045,-0.0009,0.0015,0.1504,0.1272,0.1336,0.1452,0.1642,0.179,0.1788,0.1759,IH2201,3367.4,L2
20211210,10003715,510050C2201A03500,2021-12-10,20220126,C,3.455,0.0483,0.0506,0.0396,0.0448,11909,16486,5584697,10129,510050,3.349,47,0.128767,0.0278,0.3383,1.7734,0.0044,-0.0009,0.0014,0.1364,0.1261,0.1329,0.1435,0.1637,0.1784,0.178,0.1759,IH2201,3371.2,L2
20211213,10003715,510050C2201A03500,2021-12-13,20220126,C,3.455,0.0514,0.0819,0.043,0.0458,22770,19498,14479963,10129,510050,3.354,44,0.120548,0.0284,0.3451,1.7971,0.0043,-0.0009,0.0013,0.1037,0.126,0.1321,0.1433,0.1631,0.1784,0.1777,0.1758,IH2201,3377.4,L2
20211214,10003715,510050C2201A03500,2021-12-14,20220126,C,3.455,0.0428,0.0462,0.034,0.0373,9382,21049,3812554,10129,510050,3.337,43,0.117808,0.0302,0.3074,1.7983,0.004,-0.0009,0.0012,0.102,0.128,0.128,0.1403,0.1613,0.1783,0.1773,0.1732,IH2201,3364.0,L2
20211215,10003715,510050C2201A03500,2021-12-15,20220126,C,3.455,0.0363,0.0397,0.0259,0.0266,10934,22398,3492386,10129,510050,3.304,42,0.115068,0.0299,0.2444,1.6607,0.0035,-0.0008,0.0009,0.1269,0.1313,0.1282,0.1416,0.1572,0.1787,0.1769,0.1733,IH2201,3330.4,L2
