日期,合约编码,交易代码,报价时间,到期日,期权类型,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,标的代码,标的收盘价,距离到期日天数,距离到期日时间（折算成年）,无风险利率,Delta,Gamma,Vega,Theta,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,期货代码,期货价格,连续标志
20220429,10004274,510050P2212M02950,2022-04-29,20221228,P,2.95,0.2964,0.311,0.2634,0.27,28,25,81776,10000,510050,2.793,243,0.665753,0.0253,-0.5435,0.7602,0.009,-0.0003,-0.0119,0.3095,0.2601,0.2393,0.2564,0.2246,0.2052,0.1955,0.196,IH2212,2782.8,L4
20220505,10004274,510050P2212M02950,2022-05-05,20221228,P,2.95,0.2698,0.2698,0.261,0.268,21,17,55951,10000,510050,2.781,237,0.649315,0.0241,-0.5621,0.8006,0.0088,-0.0003,-0.0119,0.3041,0.2598,0.2344,0.2557,0.2243,0.2049,0.1955,0.1938,IH2212,2767.0,L4
20220506,10004274,510050P2212M02950,2022-05-06,20221228,P,2.95,0.3021,0.3313,0.3019,0.3252,91,104,292830,10000,510050,2.703,236,0.646575,0.0239,-0.6144,0.7557,0.0083,-0.0003,-0.0128,0.328,0.2684,0.2439,0.2577,0.2283,0.2081,0.1976,0.1964,IH2212,2678.4,L4
20220509,10004274,510050P2212M02950,2022-05-09,20221228,P,2.95,0.3415,0.3571,0.3397,0.3452,286,304,993082,10000,510050,2.677,233,0.638356,0.0236,-0.6316,0.7405,0.0081,-0.0003,-0.013,0.3279,0.2691,0.2446,0.2545,0.2276,0.2084,0.1973,0.1966,IH2212,2647.2,L4
20220510,10004274,510050P2212M02950,2022-05-10,20221228,P,2.95,0.3768,0.3768,0.3271,0.3271,105,402,373129,10000,510050,2.701,232,0.635616,0.0235,-0.6173,0.7559,0.0082,-0.0003,-0.0127,0.3315,0.2722,0.2463,0.2554,0.2282,0.2089,0.1977,0.1969,IH2212,2678.6,L4
20220511,10004274,510050P2212M02950,2022-05-11,20221228,P,2.95,0.322,0.322,0.2999,0.3116,8,404,24530,10000,510050,2.722,231,0.632877,0.0239,-0.6031,0.7671,0.0083,-0.0003,-0.0124,0.3333,0.2717,0.2468,0.2555,0.2285,0.2093,0.1975,0.197,IH2212,2695.8,L4
20220512,10004274,510050P2212M02950,2022-05-12,20221228,P,2.95,0.0,0.0,0.0,0.3116,0,404,0,10000,510050,2.702,230,0.630137,0.0238,-0.6315,0.809,0.0081,-0.0003,-0.0127,0.2234,0.2584,0.2471,0.2555,0.2286,0.2094,0.1971,0.1966,IH2212,2673.0,L4
20220513,10004274,510050P2212M02950,2022-05-13,20221228,P,2.95,0.3046,0.3128,0.3046,0.3093,5,407,15453,10000,510050,2.729,229,0.627397,0.0238,-0.5969,0.7625,0.0084,-0.0003,-0.0122,0.2271,0.2542,0.246,0.2567,0.2287,0.2075,0.1975,0.196,IH2212,2702.6,L4
20220516,10004274,510050P2212M02950,2022-05-16,20221228,P,2.95,0.315,0.331,0.315,0.331,6,412,19580,10000,510050,2.702,226,0.619178,0.0261,-0.6078,0.7349,0.0082,-0.0003,-0.0122,0.2155,0.2555,0.2472,0.2565,0.229,0.2078,0.1976,0.1961,IH2212,2676.8,L4
20220517,10004274,510050P2212M02950,2022-05-17,20221228,P,2.95,0.315,0.315,0.3,0.3,6,414,18315,10000,510050,2.737,225,0.616438,0.0229,-0.5977,0.7841,0.0083,-0.0003,-0.0119,0.2156,0.2532,0.2504,0.2581,0.2304,0.2088,0.1967,0.1965,IH2212,2709.4,L4
20220518,10004274,510050P2212M02950,2022-05-18,20221228,P,2.95,0.307,0.3182,0.2977,0.3046,61,458,187135,10000,510050,2.728,224,0.613699,0.0226,-0.6063,0.7873,0.0082,-0.0003,-0.012,0.1964,0.2527,0.2373,0.2576,0.23,0.2088,0.1967,0.1965,IH2212,2697.4,L4
20220519,10004274,510050P2212M02950,2022-05-19,20221228,P,2.95,0.3208,0.3208,0.3134,0.3134,23,477,72293,10000,510050,2.726,223,0.610959,0.0222,-0.6024,0.762,0.0082,-0.0003,-0.0119,0.1962,0.2492,0.237,0.2576,0.2284,0.2087,0.1967,0.1964,IH2212,2690.8,L4
20220520,10004274,510050P2212M02950,2022-05-20,20221228,P,2.95,0.285,0.285,0.2721,0.2721,14,468,38223,10000,510050,2.793,222,0.608219,0.0217,-0.554,0.7746,0.0086,-0.0003,-0.0111,0.1754,0.2646,0.2442,0.2623,0.2319,0.2115,0.1993,0.1966,IH2212,2771.6,L4
20220523,10004274,510050P2212M02950,2022-05-23,20221228,P,2.95,0.2837,0.2837,0.2771,0.2771,22,468,61728,10000,510050,2.763,219,0.6,0.0201,-0.591,0.8289,0.0083,-0.0003,-0.0115,0.1777,0.265,0.2455,0.2628,0.2323,0.2111,0.1979,0.1963,IH2212,2725.0,L4
20220524,10004274,510050P2212M02950,2022-05-24,20221228,P,2.95,0.291,0.3015,0.291,0.301,76,495,226650,10000,510050,2.72,218,0.59726,0.0196,-0.6307,0.8324,0.0079,-0.0003,-0.012,0.1965,0.2668,0.2478,0.2628,0.2334,0.212,0.1986,0.1964,IH2212,2683.2,L4
20220525,10004274,510050P2212M02950,2022-05-25,20221228,P,2.95,0.3024,0.3033,0.3024,0.3033,12,494,36368,10000,510050,2.725,217,0.594521,0.019,-0.6225,0.8147,0.008,-0.0003,-0.0119,0.193,0.2659,0.2461,0.2624,0.2335,0.2119,0.1986,0.1949,IH2212,2686.8,L4
20220526,10004274,510050P2212M02950,2022-05-26,20221228,P,2.95,0.305,0.307,0.1799,0.292,118,588,288920,10000,510050,2.725,216,0.591781,0.0184,-0.6367,0.864,0.0079,-0.0003,-0.012,0.1886,0.2013,0.2353,0.2603,0.2325,0.2118,0.1981,0.1945,IH2212,2683.2,L4
20220527,10004274,510050P2212M02950,2022-05-27,20221228,P,2.95,0.2712,0.2797,0.2666,0.2778,125,590,338885,10000,510050,2.744,215,0.589041,0.0178,-0.6246,0.8836,0.008,-0.0003,-0.0117,0.1853,0.2023,0.2314,0.2606,0.2327,0.2121,0.1983,0.1938,IH2212,2707.8,L4
20220530,10004274,510050P2212M02950,2022-05-30,20221228,P,2.95,0.0,0.0,0.0,0.2778,0,586,0,10000,510050,2.758,212,0.580822,0.0175,-0.605,0.8511,0.0081,-0.0003,-0.0113,0.177,0.193,0.2321,0.2609,0.2329,0.2119,0.1981,0.1939,IH2212,2715.8,L4
20220531,10004274,510050P2212M02950,2022-05-31,20221228,P,2.95,0.2503,0.2524,0.2495,0.2511,117,681,294488,10000,510050,2.792,211,0.578082,0.0237,-0.5677,0.8591,0.0083,-0.0003,-0.0106,0.176,0.1925,0.2303,0.2604,0.2339,0.2122,0.1975,0.1929,IH2212,2751.8,L4
