日期,合约编码,交易代码,报价时间,到期日,期权类型,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,标的代码,标的收盘价,距离到期日天数,距离到期日时间（折算成年）,无风险利率,Delta,Gamma,Vega,Theta,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,期货代码,期货价格,连续标志
20220623,10004344,510050C2208M02850,2022-06-23,20220824,C,2.85,0.1283,0.1575,0.1283,0.1505,2242,1436,3178238,10000,510050,2.939,62,0.169863,0.0197,0.6782,1.5104,0.0043,-0.0008,0.0031,0.1909,0.1488,0.1637,0.2108,0.2308,0.2157,0.202,0.193,IH2208,2901.8,L2
20220624,10004344,510050C2208M02850,2022-06-24,20220824,C,2.85,0.1574,0.1867,0.1567,0.1766,2029,2065,3375208,10000,510050,2.978,61,0.167123,0.0202,0.7379,1.3809,0.004,-0.0007,0.0034,0.193,0.1515,0.1637,0.2121,0.2319,0.2166,0.2027,0.1931,IH2208,2942.0,L2
20220627,10004344,510050C2208M02850,2022-06-27,20220824,C,2.85,0.1842,0.2274,0.1842,0.2033,1239,2198,2600032,10000,510050,3.016,58,0.158904,0.0198,0.792,1.232,0.0034,-0.0007,0.0035,0.1593,0.154,0.1648,0.2108,0.2329,0.2169,0.2015,0.1937,IH2208,2974.4,L2
20220628,10004344,510050C2208M02850,2022-06-28,20220824,C,2.85,0.1965,0.2344,0.1928,0.2273,641,2289,1363947,10000,510050,3.043,57,0.156164,0.059,0.9044,0.954,0.002,-0.0007,0.0039,0.155,0.1547,0.1608,0.2113,0.2327,0.2173,0.2018,0.1938,IH2208,3006.6,L2
20220629,10004344,510050C2208M02850,2022-06-29,20220824,C,2.85,0.2268,0.2397,0.2025,0.2061,874,2400,1907168,10000,510050,3.018,56,0.153425,0.0222,0.7934,1.2147,0.0034,-0.0007,0.0034,0.1624,0.1587,0.1622,0.2119,0.233,0.2176,0.202,0.1927,IH2208,2981.2,L2
20220630,10004344,510050C2208M02850,2022-06-30,20220824,C,2.85,0.2141,0.2766,0.2139,0.2499,1182,2115,2973942,10000,510050,3.069,55,0.150685,0.0224,0.8417,0.9777,0.0029,-0.0007,0.0035,0.1575,0.1623,0.1654,0.2081,0.2345,0.2188,0.2032,0.1937,IH2208,3033.0,L2
20220701,10004344,510050C2208M02850,2022-07-01,20220824,C,2.85,0.2619,0.2619,0.2303,0.2404,917,2002,2198054,10000,510050,3.058,54,0.147945,0.02,0.8272,1.028,0.003,-0.0007,0.0034,0.1563,0.1633,0.1663,0.2078,0.2345,0.2173,0.2031,0.1938,IH2208,3019.0,L2
20220704,10004344,510050C2208M02850,2022-07-04,20220824,C,2.85,0.2195,0.2451,0.2107,0.2419,685,1819,1582091,10000,510050,3.063,51,0.139726,0.0194,0.839,1.0143,0.0028,-0.0007,0.0033,0.1533,0.1616,0.1551,0.206,0.2341,0.2171,0.2027,0.1937,IH2208,3025.2,L2
20220705,10004344,510050C2208M02850,2022-07-05,20220824,C,2.85,0.2539,0.2732,0.2153,0.242,263,1625,627367,10000,510050,3.063,50,0.136986,0.0184,0.8364,1.0157,0.0028,-0.0007,0.0032,0.1546,0.162,0.15,0.2058,0.234,0.2171,0.2021,0.1923,IH2208,3024.0,L2
20220706,10004344,510050C2208M02850,2022-07-06,20220824,C,2.85,0.2378,0.2378,0.188,0.2006,669,1765,1362871,10000,510050,3.011,49,0.134247,0.0179,0.7747,1.2413,0.0033,-0.0008,0.0029,0.1737,0.1748,0.1516,0.2079,0.2343,0.2183,0.2032,0.1931,IH2208,2970.8,L2
20220707,10004344,510050C2208M02850,2022-07-07,20220824,C,2.85,0.1943,0.2072,0.181,0.1932,1451,1475,2834472,10000,510050,3.002,48,0.131507,0.0182,0.7646,1.284,0.0033,-0.0009,0.0028,0.1669,0.1746,0.1526,0.2074,0.2341,0.2183,0.2032,0.1931,IH2208,2963.0,L2
20220708,10004344,510050C2208M02850,2022-07-08,20220824,C,2.85,0.2069,0.2199,0.1918,0.1925,698,1461,1417305,10000,510050,3.006,47,0.128767,0.0184,0.7803,1.3003,0.0032,-0.0008,0.0028,0.1555,0.1715,0.1524,0.1998,0.2322,0.2174,0.2031,0.1927,IH2208,2964.8,L2
20220711,10004344,510050C2208M02850,2022-07-11,20220824,C,2.85,0.1826,0.1826,0.1519,0.1573,1490,2105,2413440,10000,510050,2.961,44,0.120548,0.0203,0.721,1.5322,0.0035,-0.0009,0.0024,0.1591,0.1677,0.1606,0.2001,0.2333,0.2183,0.2038,0.1934,IH2208,2921.6,L2
20220712,10004344,510050C2208M02850,2022-07-12,20220824,C,2.85,0.1585,0.1656,0.1397,0.1411,1203,2400,1802009,10000,510050,2.944,43,0.117808,0.0194,0.7017,1.6756,0.0035,-0.0009,0.0023,0.1485,0.1643,0.1621,0.2003,0.2335,0.2183,0.2036,0.1932,IH2208,2901.8,L2
20220713,10004344,510050C2208M02850,2022-07-13,20220824,C,2.85,0.1479,0.148,0.1275,0.135,1454,2543,1998839,10000,510050,2.935,42,0.115068,0.0197,0.686,1.7152,0.0035,-0.001,0.0022,0.146,0.1586,0.16,0.1981,0.2322,0.2182,0.2031,0.192,IH2208,2893.6,L2
20220714,10004344,510050C2208M02850,2022-07-14,20220824,C,2.85,0.1292,0.1338,0.1099,0.117,4157,4271,5024631,10000,510050,2.915,41,0.112329,0.0184,0.6567,1.897,0.0036,-0.001,0.002,0.0999,0.1569,0.1612,0.1985,0.2323,0.2181,0.2031,0.1919,IH2208,2874.4,L2
20220715,10004344,510050C2208M02850,2022-07-15,20220824,C,2.85,0.117,0.1412,0.0888,0.089,6419,6116,7200129,10000,510050,2.872,40,0.109589,0.0185,0.5721,2.0968,0.0037,-0.001,0.0017,0.1101,0.1564,0.1676,0.1985,0.2334,0.2178,0.2038,0.1926,IH2208,2823.8,L2
20220718,10004344,510050C2208M02850,2022-07-18,20220824,C,2.85,0.0922,0.1209,0.0855,0.1145,12089,6140,12345018,10000,510050,2.911,37,0.10137,0.019,0.6477,1.9081,0.0034,-0.0011,0.0018,0.1434,0.1642,0.1685,0.1994,0.234,0.2178,0.2046,0.1931,IH2208,2873.8,L2
20220719,10004344,510050C2208M02850,2022-07-19,20220824,C,2.85,0.114,0.114,0.0868,0.1043,11833,7263,11816425,10000,510050,2.899,36,0.09863,0.0186,0.6272,2.0198,0.0034,-0.0011,0.0017,0.1408,0.1645,0.1684,0.1985,0.2289,0.2178,0.2043,0.1927,IH2208,2859.8,L2
20220720,10004344,510050C2208M02850,2022-07-20,20220824,C,2.85,0.1121,0.1185,0.1015,0.1052,7436,7814,8159102,10000,510050,2.908,35,0.09589,0.0191,0.6537,2.1085,0.0033,-0.001,0.0017,0.1308,0.1606,0.1653,0.1967,0.2278,0.2171,0.2043,0.1927,IH2208,2864.0,L2
20220721,10004344,510050C2208M02850,2022-07-21,20220824,C,2.85,0.1019,0.1032,0.0831,0.0835,14715,11890,13587423,10000,510050,2.874,34,0.093151,0.0193,0.5795,2.2834,0.0034,-0.0011,0.0015,0.1368,0.1573,0.1686,0.198,0.2281,0.2176,0.2045,0.193,IH2208,2831.0,L2
20220722,10004344,510050C2208M02850,2022-07-22,20220824,C,2.85,0.0876,0.106,0.0791,0.09,36520,15462,33778595,10000,510050,2.887,33,0.090411,0.0182,0.6092,2.2655,0.0033,-0.0011,0.0015,0.1412,0.1499,0.1659,0.1708,0.2277,0.2167,0.2035,0.1926,IH2208,2848.8,L2
20220725,10004344,510050C2208M02850,2022-07-25,20220824,C,2.85,0.0888,0.0909,0.079,0.0837,36358,23445,30107317,10000,510050,2.878,30,0.082192,0.0185,0.5885,2.3285,0.0032,-0.0012,0.0013,0.1277,0.1406,0.1578,0.171,0.2277,0.2167,0.2025,0.1927,IH2208,2840.0,L2
20220726,10004344,510050C2208M02850,2022-07-26,20220824,C,2.85,0.0843,0.0969,0.0843,0.0865,43431,28696,39063160,10000,510050,2.891,29,0.079452,0.0198,0.6269,2.4528,0.0031,-0.0011,0.0014,0.1313,0.1369,0.1535,0.1674,0.2219,0.2168,0.2026,0.1926,IH2208,2851.0,L2
